post_date,price,mfdate,mileage,gear_box,condition,fuel,body_style,origin,district,city,car_age,is_imported
2025,545000000,2023,60000.0,Tự động,Đã sử dụng,Xăng,Minivan (mpv),Nhập khẩu,Huyện Thanh Trì,Hà Nội,2,1
2025,475000000,2020,60000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Thanh Xuân,Hà Nội,5,0
2025,403000000,2021,71000.0,Số sàn,Đã sử dụng,Xăng,Minivan (mpv),Nhập khẩu,Huyện Thanh Trì,Hà Nội,4,1
2025,519000000,2018,150000.0,Tự động,Đã sử dụng,Dầu,Pick-up (bán tải),Nhập khẩu,Quận Hà Đông,Hà Nội,7,1
2025,415000000,2018,79000.0,Tự động,Đã sử dụng,Dầu,Pick-up (bán tải),Nhập khẩu,Quận Hoàng Mai,Hà Nội,7,1
2025,460000000,2019,69000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Thanh Xuân,Hà Nội,6,0
2025,550000000,2018,130000.0,Tự động,Đã sử dụng,Dầu,Pick-up (bán tải),Nhập khẩu,Huyện Đông Anh,Hà Nội,7,1
2025,680000000,2021,61000.0,5,Đã sử dụng,Xăng,Suv / cross over,Nhập khẩu,Quận Thanh Xuân,Hà Nội,4,1
2025,350000000,2019,82000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Hoàng Mai,Hà Nội,6,0
2025,635000000,2019,79000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Thanh Xuân,Hà Nội,6,0
2025,635000000,2021,65000.0,5,Đã sử dụng,Xăng,Suv / cross over,Nhập khẩu,Quận Hoàng Mai,Hà Nội,4,1
2025,755000000,2016,75000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Nhập khẩu,Quận Long Biên,Hà Nội,9,1
2025,520000000,2021,73000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Thanh Xuân,Hà Nội,4,0
2025,445000000,2019,115000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Long Biên,Hà Nội,6,0
2025,546000000,2023,43000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Nhập khẩu,Quận Hoàng Mai,Hà Nội,2,1
2025,389000000,2021,72000.0,Tự động,Đã sử dụng,Xăng,Minivan (mpv),Trong nước,Quận Hoàng Mai,Hà Nội,4,0
2025,1095000000,2023,40000.0,Tự động,Đã sử dụng,Dầu,Pick-up (bán tải),Nhập khẩu,Quận Long Biên,Hà Nội,2,1
2025,290000000,2015,90000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Nhập khẩu,Quận Hà Đông,Hà Nội,10,1
2025,495000000,2015,130000.0,Tự động,Đã sử dụng,Dầu,Suv / cross over,Trong nước,Quận Long Biên,Hà Nội,10,0
2025,328000000,2012,90000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Hai Bà Trưng,Hà Nội,13,0
2025,465000000,2014,90000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Long Biên,Hà Nội,11,0
2025,1080000000,2015,100000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Bắc Từ Liêm,Hà Nội,10,0
2025,215000000,2010,90000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Nam Từ Liêm,Hà Nội,15,0
2025,570000000,2024,20000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Nam Từ Liêm,Hà Nội,1,0
2025,245000000,2014,110000.0,Tự động,Đã sử dụng,Xăng,Hatchback,Trong nước,Quận Nam Từ Liêm,Hà Nội,11,0
2025,399000000,2019,51060.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Nhập khẩu,Quận Thanh Xuân,Hà Nội,6,1
2025,678000000,2021,68000.0,Tự động,Đã sử dụng,Dầu,Pick-up (bán tải),Nhập khẩu,Quận Thanh Xuân,Hà Nội,4,1
2025,275000000,2010,150000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Huyện Đông Anh,Hà Nội,15,0
2025,590000000,2024,5000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Hoàng Mai,Hà Nội,1,0
2025,435000000,2017,98000.0,Tự động,Đã sử dụng,Dầu,Pick-up (bán tải),Trong nước,Quận Hoàng Mai,Hà Nội,8,0
2025,620000000,2022,48000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Hoàng Mai,Hà Nội,3,0
2025,560000000,2018,72000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Hoàng Mai,Hà Nội,7,0
2025,680000000,2011,1234.0,Tự động,Đã sử dụng,Xăng,Sedan,Nhập khẩu,Quận Long Biên,Hà Nội,14,1
2025,355000000,2019,80000.0,Tự động,Đã sử dụng,Xăng,Sedan,Nhập khẩu,Huyện Đông Anh,Hà Nội,6,1
2025,368000000,2018,55000.0,Tự động,Đã sử dụng,Xăng,Hatchback,Nhập khẩu,Quận Long Biên,Hà Nội,7,1
2025,152000000,2011,11000.0,Tự động,Đã sử dụng,Xăng,Hatchback,Nhập khẩu,Quận Nam Từ Liêm,Hà Nội,14,1
